Date/Time,EMS:PUE [](Hourly),MAIN ZONE:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SUP-PLENUM-1:Zone Air Temperature [C](Hourly),SUP-PLENUM-2:Zone Air Temperature [C](Hourly),SUB ZONE:Zone Air Temperature [C](Hourly),SYSTEM AVAILABILITY SCHEDULE:Schedule Value [](Hourly),ZONE CONTROL TYPE SCHED:Schedule Value [](Hourly),HEATING SETPOINT SCHEDULE:Schedule Value [](Hourly),SUPPLY AIR SETPOINT SCHEDULE:Schedule Value [](Hourly),COOLING RETURN AIR SETPOINT SCHEDULE:Schedule Value [](Hourly),DATA CENTER CPU LOADING SCHEDULE:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),DATA CENTER OPERATION SCHEDULE:Schedule Value [](Hourly),DAT_RESET:Schedule Value [](Hourly),AFFMU:Schedule Value [](Hourly),SUPPLY INLET NODE:System Node Relative Humidity [%](Hourly) 
 01/01  01:00:00,1.0634227702266892,32.70358960381938,31.416512880316966,23.62315726302076,23.140499372789674,32.699555491892038,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,23.19635158183861,161.3500000000002,7.346290296906821 
 01/01  02:00:00,1.0628500531700065,28.946015392649348,28.670120638452976,20.109864251222747,20.094464633738484,28.925780009076843,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.632346978781187,161.3500000000002,8.234003799632694 
 01/01  03:00:00,1.0609559890973955,28.68047177398667,28.399887801686455,19.864604791619166,19.84638551316343,28.65673775077435,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.397410407405997,161.3500000000002,8.370341138463525 
 01/01  04:00:00,1.0609818060872412,28.676058033858707,28.397460459161935,19.861071243192993,19.843963217730236,28.653451974550593,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.39285775016115,161.3500000000002,8.367659595812482 
 01/01  05:00:00,1.061049670749662,28.679943107023289,28.40348235497343,19.865116638308096,19.848563287647076,28.657910955908567,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.396078429025203,161.3500000000002,8.364754613585685 
 01/01  06:00:00,1.061124316766375,28.68424146589528,28.409471219227105,19.86943713101066,19.8532117290164,28.66257315001087,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.399725982377839,161.3500000000002,8.361804775795177 
 01/01  07:00:00,1.0611342313134825,28.685506490306137,28.41124782220988,19.87069860999535,19.854574798939056,28.663942594344716,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.400857733660929,161.3500000000002,8.360934247182616 
 01/01  08:00:00,1.061547231944709,28.693492046401074,28.427089239863645,19.879934615224113,19.864360479180549,28.672877606178508,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.40658470850482,161.3500000000002,8.353693250553917 
 01/01  09:00:00,1.0636011909357926,28.761208097465809,28.53608445554711,19.950794612482228,19.937640119857546,28.74576253315016,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.461982457622644,161.3500000000002,8.301556584952705 
 01/01  10:00:00,1.0648220051025004,28.8287162474555,28.6347139018415,20.01864775461447,20.00730389106728,28.816149851346574,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.52083504952884,161.3500000000002,8.253723934442922 
 01/01  11:00:00,1.06540335319546,28.865942571410259,28.690860904316677,20.05619314954923,20.046265955987488,28.85445955401037,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.553772622009487,161.3500000000002,8.222544836818262 
 01/01  12:00:00,1.066048356785287,28.886837552404797,28.72010453461477,20.076574129575446,20.067245765373987,28.87536852192936,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.573377318616349,161.3500000000002,8.199944639386512 
 01/01  13:00:00,1.0693055825265888,28.868974952970846,28.689660475921888,20.057678529722133,20.04831065349184,28.85651142673884,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.55930804549833,161.3500000000002,8.205899149508417 
 01/01  14:00:00,1.0729454548342133,28.855181651315026,28.672843659127353,20.044311602120009,20.034414468397395,28.84196754603364,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.5477108960744,161.3500000000002,8.210071702066874 
 01/01  15:00:00,1.0744177824176456,28.849950100350854,28.661986965985148,20.038581010844085,20.028745800271847,28.836675439806088,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.542830693604704,161.3500000000002,8.215080646953148 
 01/01  16:00:00,1.0738891605045494,28.827442493878374,28.62415062850334,20.015072783177513,20.004382267548104,28.812957537213987,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.52312506328875,161.3500000000002,8.23299249444275 
 01/01  17:00:00,1.0733041964632134,28.798168363358877,28.576328494247908,19.984898969587176,19.973309691224089,28.782390700657005,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.496984806705944,161.3500000000002,8.255807944313693 
 01/01  18:00:00,1.072346211856805,28.776804429625125,28.546286837471209,19.963647249438848,19.951609201512608,28.760441124940127,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.477789126782765,161.3500000000002,8.270492710717927 
 01/01  19:00:00,1.0703345867899688,28.77173060946192,28.541899175390737,19.958864106116577,19.946252873921165,28.754736738783057,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.47401319241757,161.3500000000002,8.272755713271364 
 01/01  20:00:00,1.0714087252461496,28.777190633118289,28.552838611458545,19.964779564304697,19.951841943232798,28.75987504816782,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.479409609995807,161.3500000000002,8.267587040487703 
 01/01  21:00:00,1.07240532400665,28.782651486532115,28.557486174099645,19.969864948917487,19.957251363439437,28.765696920080008,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.483818767139156,161.3500000000002,8.260881252401545 
 01/01  22:00:00,1.072335510981692,28.777711024707508,28.552186722024655,19.965140897571584,19.952490451594824,28.760742484305248,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.47933584200282,161.3500000000002,8.259559474786391 
 01/01  23:00:00,1.072347297687512,28.782116297250118,28.557289170246898,19.96931373011363,19.956438684146389,28.76489837970124,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.483771319256165,161.3500000000002,8.252641246405679 
 01/01  24:00:00,1.0711064083095039,28.771702018441528,28.540632147761579,19.958605790799014,19.945521129319265,28.75418803366036,1.0,4.0,15.0,10.0,29.29999999999997,1.0,1.0,1.0,19.474579254284725,161.3500000000002,8.256552129269144 
